MBps,bytes,channels,cipher,correct,diffusion_ms,diffusion_share_pct,height,image,image_kind,image_size,keygen_ms,keygen_share_pct,mode,permutation_ms,permutation_share_pct,repeat,run_id,total_ms,variant,width
124.847,1179648,3,logistic_xor,1,1.9416,21.546902466307998,512,images/datasets/real/kodak/kodim01.png,real_kodim01,768x512,5.32934,59.142340950656084,full,0.00062,0.006880448871606385,1,full__real_kodim01__rep1,9.01104,scalar_avx2,768
14.4363,1179648,3,logistic_permute_xor,1,1.27188,1.6321156755633062,512,images/datasets/real/kodak/kodim01.png,real_kodim01,768x512,3.93504,5.0495647922513385,full,71.5013,91.75267521555071,1,full__real_kodim01__rep1,77.9283,scalar_avx2,768
118.199,1179648,3,arnold_xor,1,0.370808,3.895934152988815,512,images/datasets/real/kodak/kodim01.png,real_kodim01,768x512,3.86319,40.58902143558084,full,4.84984,50.95536582957022,1,full__real_kodim01__rep1,9.51782,scalar_avx2,768
78.7209,1179648,3,tiled_arnold_xor,1,2.5791,18.04702260163739,512,images/datasets/real/kodak/kodim01.png,real_kodim01,768x512,4.19302,29.34028409488489,full,5.86593,41.04632286054159,1,full__real_kodim01__rep1,14.291,scalar_avx2,768
77.9106,1179648,3,tent_block_xor,1,1.9006,13.162414471314994,512,images/datasets/real/kodak/kodim01.png,real_kodim01,768x512,11.1189,77.00282556303499,full,0.000567,0.003926701570680628,1,full__real_kodim01__rep1,14.4396,scalar_avx2,768
22.5754,1179648,3,sine_xor,1,0.980255,1.9670761000218728,512,images/datasets/real/kodak/kodim01.png,real_kodim01,768x512,48.4094,97.14306354611692,full,0.000893,0.0017919816346966173,1,full__real_kodim01__rep1,49.8331,scalar_avx2,768
73.6131,1179648,3,coupled_lattice_xor,1,0.558465,3.6542538573279413,512,images/datasets/real/kodak/kodim01.png,real_kodim01,768x512,14.3864,94.13581458652324,full,0.000588,0.003847512857759805,1,full__real_kodim01__rep1,15.2826,scalar_avx2,768
11.7719,1179648,3,hamiltonian_lattice_xor,1,0.808469,0.8459717747462773,512,images/datasets/real/kodak/kodim01.png,real_kodim01,768x512,94.2531,98.62525623411452,full,0.00057,0.0005964408178982471,1,full__real_kodim01__rep1,95.5669,scalar_avx2,768
309.107,1179648,3,chaotic_seed_blake3_xor,1,0.560108,15.389611816942894,512,images/datasets/real/kodak/kodim01.png,real_kodim01,768x512,2.64669,72.72085329933617,full,0.000636,0.017474831845957706,1,full__real_kodim01__rep1,3.63952,scalar_avx2,768
339.291,1179648,3,aes_ctr,1,2.96321,89.36798422071695,512,images/datasets/real/kodak/kodim01.png,real_kodim01,768x512,0,0.0,full,0,0.0,1,full__real_kodim01__rep1,3.31574,openssl_evp,768
844.546,1179648,3,chacha20,1,0.708596,53.19470302083959,512,images/datasets/real/kodak/kodim01.png,real_kodim01,768x512,0,0.0,full,0,0.0,1,full__real_kodim01__rep1,1.33208,openssl_evp,768
137.377,1179648,3,logistic_xor,1,1.86781,22.808322221082506,512,images/datasets/real/kodak/kodim02.png,real_kodim02,768x512,4.6953,57.335550898993304,full,0.000697,0.008511251459246126,1,full__real_kodim02__rep1,8.18916,scalar_avx2,768
13.9002,1179648,3,logistic_permute_xor,1,1.85728,2.2947996090656253,512,images/datasets/real/kodak/kodim02.png,real_kodim02,768x512,4.16614,5.147557957503803,full,73.357,90.63771478841481,1,full__real_kodim02__rep1,80.9343,scalar_avx2,768
94.8685,1179648,3,arnold_xor,1,0.541138,4.563292153307754,512,images/datasets/real/kodak/kodim02.png,real_kodim02,768x512,5.52054,46.55344267824767,full,5.31403,44.81199139857487,1,full__real_kodim02__rep1,11.8585,scalar_avx2,768
91.6343,1179648,3,tiled_arnold_xor,1,1.64416,13.39208770800922,512,images/datasets/real/kodak/kodim02.png,real_kodim02,768x512,3.6839,30.006271839440906,full,5.72242,46.610518770719466,1,full__real_kodim02__rep1,12.2771,scalar_avx2,768
76.5921,1179648,3,tent_block_xor,1,2.02482,13.785351506651597,512,images/datasets/real/kodak/kodim02.png,real_kodim02,768x512,10.9897,74.81992347598751,full,0.000573,0.0039010906714233196,1,full__real_kodim02__rep1,14.6882,scalar_avx2,768
22.2763,1179648,3,sine_xor,1,0.920089,1.8218790468534045,512,images/datasets/real/kodak/kodim02.png,real_kodim02,768x512,49.1498,97.32209685914671,full,0.00056,0.0011088625842042524,1,full__real_kodim02__rep1,50.5022,scalar_avx2,768
67.8755,1179648,3,coupled_lattice_xor,1,0.845801,5.103025732299617,512,images/datasets/real/kodak/kodim02.png,real_kodim02,768x512,15.1791,91.58104316872304,full,0.000668,0.004030287489818697,1,full__real_kodim02__rep1,16.5745,scalar_avx2,768
11.4261,1179648,3,hamiltonian_lattice_xor,1,1.026,1.0420559988299722,512,images/datasets/real/kodak/kodim02.png,real_kodim02,768x512,96.8307,98.34601540536588,full,0.000909,0.0009232250515949753,1,full__real_kodim02__rep1,98.4592,scalar_avx2,768
289.732,1179648,3,chaotic_seed_blake3_xor,1,0.598437,15.41211465657112,512,images/datasets/real/kodak/kodim02.png,real_kodim02,768x512,2.78003,71.59674470112544,full,0.000605,0.015581137809369287,1,full__real_kodim02__rep1,3.8829,scalar_avx2,768
324.952,1179648,3,aes_ctr,1,2.97094,85.81447408327436,512,images/datasets/real/kodak/kodim02.png,real_kodim02,768x512,0,0.0,full,0,0.0,1,full__real_kodim02__rep1,3.46205,openssl_evp,768
745.75,1179648,3,chacha20,1,0.646833,42.877796559610225,512,images/datasets/real/kodak/kodim02.png,real_kodim02,768x512,0,0.0,full,0,0.0,1,full__real_kodim02__rep1,1.50855,openssl_evp,768
143.424,1179648,3,logistic_xor,1,1.80131,22.96458631337122,512,images/datasets/real/kodak/kodim03.png,real_kodim03,768x512,4.46694,56.94823721994018,full,0.000537,0.00684611913012216,1,full__real_kodim03__rep1,7.84386,scalar_avx2,768
14.1378,1179648,3,logistic_permute_xor,1,1.30396,1.6386718308195372,512,images/datasets/real/kodak/kodim03.png,real_kodim03,768x512,3.97531,4.995727258332474,full,73.0339,91.78087872702459,1,full__real_kodim03__rep1,79.5742,scalar_avx2,768
90.2053,1179648,3,arnold_xor,1,0.77439,6.209277151906346,512,images/datasets/real/kodak/kodim03.png,real_kodim03,768x512,4.15461,33.312833259832416,full,7.12021,57.09184941667,1,full__real_kodim03__rep1,12.4715,scalar_avx2,768
79.7743,1179648,3,tiled_arnold_xor,1,1.8215,12.91633279677783,512,images/datasets/real/kodak/kodim03.png,real_kodim03,768x512,4.07951,28.927976287555932,full,6.51392,46.190479567162804,1,full__real_kodim03__rep1,14.1023,scalar_avx2,768
82.6442,1179648,3,tent_block_xor,1,1.74855,12.845084700938838,512,images/datasets/real/kodak/kodim03.png,real_kodim03,768x512,10.4957,77.1028312005054,full,0.000573,0.004209335468609964,1,full__real_kodim03__rep1,13.6126,scalar_avx2,768
23.9708,1179648,3,sine_xor,1,0.720734,1.5356919130149447,512,images/datasets/real/kodak/kodim03.png,real_kodim03,768x512,45.7149,97.40625838976224,full,0.000752,0.0016023114194518898,1,full__real_kodim03__rep1,46.9322,scalar_avx2,768
65.9365,1179648,3,coupled_lattice_xor,1,0.982722,5.759745397640356,512,images/datasets/real/kodak/kodim03.png,real_kodim03,768x512,15.6076,91.47633030319014,full,0.000572,0.003352498842450137,1,full__real_kodim03__rep1,17.0619,scalar_avx2,768
11.3301,1179648,3,hamiltonian_lattice_xor,1,0.733828,0.7390523611409051,512,images/datasets/real/kodak/kodim03.png,real_kodim03,768x512,98.0345,98.73243961564297,full,0.00086,0.000866122620806481,1,full__real_kodim03__rep1,99.2931,scalar_avx2,768
308.99,1179648,3,chaotic_seed_blake3_xor,1,0.54674,15.016616770578704,512,images/datasets/real/kodak/kodim03.png,real_kodim03,768x512,2.61939,71.94347551429593,full,0.000517,0.014199785767255349,1,full__real_kodim03__rep1,3.6409,scalar_avx2,768
313.926,1179648,3,aes_ctr,1,3.03403,84.66312279379963,512,images/datasets/real/kodak/kodim03.png,real_kodim03,768x512,0,0.0,full,0,0.0,1,full__real_kodim03__rep1,3.58365,openssl_evp,768
954.391,1179648,3,chacha20,1,0.708007,60.063711018358276,512,images/datasets/real/kodak/kodim03.png,real_kodim03,768x512,0,0.0,full,0,0.0,1,full__real_kodim03__rep1,1.17876,openssl_evp,768
146.126,1179648,3,logistic_xor,1,1.7089,22.19690809760457,768,images/datasets/real/kodak/kodim04.png,real_kodim04,512x768,4.44723,57.76508607812626,full,0.000726,0.00943001654799047,1,full__real_kodim04__rep1,7.69882,scalar_avx2,512
13.3317,1179648,3,logistic_permute_xor,1,2.61858,3.1031344433252355,768,images/datasets/real/kodak/kodim04.png,real_kodim04,512x768,4.29158,5.0857142857142845,full,75.8646,89.90294483616755,1,full__real_kodim04__rep1,84.385,scalar_avx2,512
116.743,1179648,3,arnold_xor,1,0.462036,4.794625456854846,768,images/datasets/real/kodak/kodim04.png,real_kodim04,512x768,3.97647,41.264499498782754,full,4.63211,48.06818629923188,1,full__real_kodim04__rep1,9.63654,scalar_avx2,512
85.4201,1179648,3,tiled_arnold_xor,1,1.85175,14.060150946834522,768,images/datasets/real/kodak/kodim04.png,real_kodim04,512x768,3.89544,29.577682950904315,full,5.88526,44.68618547933972,1,full__real_kodim04__rep1,13.1702,scalar_avx2,512
78.393,1179648,3,tent_block_xor,1,1.89317,13.192086852300918,768,images/datasets/real/kodak/kodim04.png,real_kodim04,512x768,10.982,76.52535050310783,full,0.000684,0.004766284806421942,1,full__real_kodim04__rep1,14.3508,scalar_avx2,512
23.075,1179648,3,sine_xor,1,1.06383,2.1820318701401527,768,images/datasets/real/kodak/kodim04.png,real_kodim04,512x768,47.1287,96.66612654115244,full,0.001157,0.0023731337467002775,1,full__real_kodim04__rep1,48.7541,scalar_avx2,512
66.3886,1179648,3,coupled_lattice_xor,1,0.996099,5.878181485568611,768,images/datasets/real/kodak/kodim04.png,real_kodim04,512x768,15.3946,90.84664546168055,full,0.000988,0.005830387649964298,1,full__real_kodim04__rep1,16.9457,scalar_avx2,512
10.7895,1179648,3,hamiltonian_lattice_xor,1,0.988142,0.9476944028848736,768,images/datasets/real/kodak/kodim04.png,real_kodim04,512x768,102.67,98.46741090267388,full,0.00074,0.0007097095945064641,1,full__real_kodim04__rep1,104.268,scalar_avx2,512
261.652,1179648,3,chaotic_seed_blake3_xor,1,1.04558,24.31801954130723,768,images/datasets/real/kodak/kodim04.png,real_kodim04,512x768,2.76255,64.2511762694756,full,0.000578,0.013443079721184012,1,full__real_kodim04__rep1,4.29961,scalar_avx2,512
295.692,1179648,3,aes_ctr,1,3.1077,81.68205581094614,768,images/datasets/real/kodak/kodim04.png,real_kodim04,512x768,0,0.0,full,0,0.0,1,full__real_kodim04__rep1,3.80463,openssl_evp,512
709.296,1179648,3,chacha20,1,0.791588,49.908453545848886,768,images/datasets/real/kodak/kodim04.png,real_kodim04,512x768,0,0.0,full,0,0.0,1,full__real_kodim04__rep1,1.58608,openssl_evp,512
127.447,1179648,3,logistic_xor,1,1.9977,22.631211064902875,512,images/datasets/real/kodak/kodim05.png,real_kodim05,768x512,4.87134,55.185625323574094,full,0.000603,0.0068311659769417,1,full__real_kodim05__rep1,8.82719,scalar_avx2,768
12.8758,1179648,3,logistic_permute_xor,1,1.52824,1.749090684350157,512,images/datasets/real/kodak/kodim05.png,real_kodim05,768x512,3.99211,4.569022150906339,full,80.3525,91.96448804784981,1,full__real_kodim05__rep1,87.3734,scalar_avx2,768
106.747,1179648,3,arnold_xor,1,0.571624,5.423943675336136,512,images/datasets/real/kodak/kodim05.png,real_kodim05,768x512,4.36152,41.384964275208986,full,5.06583,48.06791980187686,1,full__real_kodim05__rep1,10.5389,scalar_avx2,768
82.0297,1179648,3,tiled_arnold_xor,1,2.2498,16.40453534580189,512,images/datasets/real/kodak/kodim05.png,real_kodim05,768x512,3.81752,27.835648401327063,full,6.0975,44.46024280870612,1,full__real_kodim05__rep1,13.7145,scalar_avx2,768
71.9603,1179648,3,tent_block_xor,1,2.35612,15.070872991505478,512,images/datasets/real/kodak/kodim05.png,real_kodim05,768x512,11.5987,74.19084535871455,full,0.00074,0.004733394739535359,1,full__real_kodim05__rep1,15.6336,scalar_avx2,768
23.6428,1179648,3,sine_xor,1,0.90042,1.8923105052003757,512,images/datasets/real/kodak/kodim05.png,real_kodim05,768x512,46.1796,97.05042336459793,full,0.000891,0.0018725135604868114,1,full__real_kodim05__rep1,47.5831,scalar_avx2,768
69.2568,1179648,3,coupled_lattice_xor,1,0.911409,5.610776968585131,512,images/datasets/real/kodak/kodim05.png,real_kodim05,768x512,14.8203,91.2360947801944,full,0.000585,0.003601351892094879,1,full__real_kodim05__rep1,16.2439,scalar_avx2,768
11.1273,1179648,3,hamiltonian_lattice_xor,1,1.07513,1.0634112084825225,512,images/datasets/real/kodak/kodim05.png,real_kodim05,768x512,99.5333,98.44839864691103,full,0.000557,0.0005509287650095942,1,full__real_kodim05__rep1,101.102,scalar_avx2,768
290.631,1179648,3,chaotic_seed_blake3_xor,1,0.703558,18.175613360234983,512,images/datasets/real/kodak/kodim05.png,real_kodim05,768x512,2.6896,69.48272877813629,full,0.000757,0.019556226087540592,1,full__real_kodim05__rep1,3.87089,scalar_avx2,768
315.636,1179648,3,aes_ctr,1,3.02317,84.81948465872108,512,images/datasets/real/kodak/kodim05.png,real_kodim05,768x512,0,0.0,full,0,0.0,1,full__real_kodim05__rep1,3.56424,openssl_evp,768
789.852,1179648,3,chacha20,1,0.730272,51.27162435407774,512,images/datasets/real/kodak/kodim05.png,real_kodim05,768x512,0,0.0,full,0,0.0,1,full__real_kodim05__rep1,1.42432,openssl_evp,768
132.864,1179648,3,logistic_xor,1,1.98619,23.457099227265264,512,images/datasets/real/kodak/kodim06.png,real_kodim06,768x512,4.66079,55.044388254621,full,0.000537,0.0063420228100239395,1,full__real_kodim06__rep1,8.46733,scalar_avx2,768
13.4685,1179648,3,logistic_permute_xor,1,2.00632,2.401970115446179,512,images/datasets/real/kodak/kodim06.png,real_kodim06,768x512,4.03162,4.826663122949044,full,75.28,90.12535901091968,1,full__real_kodim06__rep1,83.5281,scalar_avx2,768
107.549,1179648,3,arnold_xor,1,0.842438,8.053669588826326,512,images/datasets/real/kodak/kodim06.png,real_kodim06,768x512,4.13565,39.53662896857642,full,4.93962,47.22254619848379,1,full__real_kodim06__rep1,10.4603,scalar_avx2,768
78.9616,1179648,3,tiled_arnold_xor,1,2.10285,14.759535073065964,512,images/datasets/real/kodak/kodim06.png,real_kodim06,768x512,4.26796,29.95606215870966,full,6.33539,44.46699046843634,1,full__real_kodim06__rep1,14.2474,scalar_avx2,768
76.8205,1179648,3,tent_block_xor,1,2.19357,14.978797500768204,512,images/datasets/real/kodak/kodim06.png,real_kodim06,768x512,10.8811,74.30161494076273,full,0.000545,0.0037215336815869435,1,full__real_kodim06__rep1,14.6445,scalar_avx2,768
22.6597,1179648,3,sine_xor,1,1.04844,2.111759457134973,512,images/datasets/real/kodak/kodim06.png,real_kodim06,768x512,48.0879,96.8582633233765,full,0.000722,0.0014542466216964733,1,full__real_kodim06__rep1,49.6477,scalar_avx2,768
65.6494,1179648,3,coupled_lattice_xor,1,0.984021,5.742251918419747,512,images/datasets/real/kodak/kodim06.png,real_kodim06,768x512,15.6693,91.43815831704256,full,0.000615,0.003588830858109882,1,full__real_kodim06__rep1,17.1365,scalar_avx2,768
10.5994,1179648,3,hamiltonian_lattice_xor,1,1.06426,1.0027134485292732,512,images/datasets/real/kodak/kodim06.png,real_kodim06,768x512,104.499,98.45578397934763,full,0.000885,0.0008338201209745803,1,full__real_kodim06__rep1,106.138,scalar_avx2,768
249.446,1179648,3,chaotic_seed_blake3_xor,1,1.10876,24.584478935698446,512,images/datasets/real/kodak/kodim06.png,real_kodim06,768x512,2.76109,61.22150776053215,full,0.001304,0.028913525498891358,1,full__real_kodim06__rep1,4.51,scalar_avx2,768
313.992,1179648,3,aes_ctr,1,3.02457,84.4168131960144,512,images/datasets/real/kodak/kodim06.png,real_kodim06,768x512,0,0.0,full,0,0.0,1,full__real_kodim06__rep1,3.5829,openssl_evp,768
767.958,1179648,3,chacha20,1,0.709398,48.425716080058976,512,images/datasets/real/kodak/kodim06.png,real_kodim06,768x512,0,0.0,full,0,0.0,1,full__real_kodim06__rep1,1.46492,openssl_evp,768
139.21,1179648,3,logistic_xor,1,1.82158,22.540568767060904,512,images/datasets/real/kodak/kodim07.png,real_kodim07,768x512,4.54938,56.294871890057834,full,0.000669,0.008278330078922555,1,full__real_kodim07__rep1,8.08134,scalar_avx2,768
14.4191,1179648,3,logistic_permute_xor,1,1.43432,1.8383650660394892,512,images/datasets/real/kodak/kodim07.png,real_kodim07,768x512,3.80845,4.881282723351897,full,71.2053,91.26369013669309,1,full__real_kodim07__rep1,78.0215,scalar_avx2,768
107.706,1179648,3,arnold_xor,1,0.710408,6.801351830044711,512,images/datasets/real/kodak/kodim07.png,real_kodim07,768x512,4.02918,38.57483413275124,full,5.15096,49.314606849144575,1,full__real_kodim07__rep1,10.4451,scalar_avx2,768
80.6583,1179648,3,tiled_arnold_xor,1,1.87915,13.472830645912948,512,images/datasets/real/kodak/kodim07.png,real_kodim07,768x512,4.13336,29.63470679753651,full,6.35788,45.58371631164995,1,full__real_kodim07__rep1,13.9477,scalar_avx2,768
81.7147,1179648,3,tent_block_xor,1,1.50084,10.901404767784767,512,images/datasets/real/kodak/kodim07.png,real_kodim07,768x512,10.7207,77.87018609178205,full,0.000529,0.003842410331653035,1,full__real_kodim07__rep1,13.7674,scalar_avx2,768
23.1522,1179648,3,sine_xor,1,0.826461,1.7008345080929792,512,images/datasets/real/kodak/kodim07.png,real_kodim07,768x512,47.3162,97.37546690264757,full,0.000554,0.0011401170986695204,1,full__real_kodim07__rep1,48.5915,scalar_avx2,768
65.7596,1179648,3,coupled_lattice_xor,1,0.80326,4.695285191550052,512,images/datasets/real/kodak/kodim07.png,real_kodim07,768x512,15.8583,92.69631396205239,full,0.000608,0.0035539344626427712,1,full__real_kodim07__rep1,17.1078,scalar_avx2,768
11.1594,1179648,3,hamiltonian_lattice_xor,1,0.885584,0.8784509780581677,512,images/datasets/real/kodak/kodim07.png,real_kodim07,768x512,99.5435,98.74171725588222,full,0.000573,0.0005683847161052256,1,full__real_kodim07__rep1,100.812,scalar_avx2,768
308.193,1179648,3,chaotic_seed_blake3_xor,1,0.485897,13.311116042199155,512,images/datasets/real/kodak/kodim07.png,real_kodim07,768x512,2.71367,74.34080941070759,full,0.00051,0.013971416126301602,1,full__real_kodim07__rep1,3.65031,scalar_avx2,768
342.63,1179648,3,aes_ctr,1,2.83575,86.3657405997405,512,images/datasets/real/kodak/kodim07.png,real_kodim07,768x512,0,0.0,full,0,0.0,1,full__real_kodim07__rep1,3.28342,openssl_evp,768
784.405,1179648,3,chacha20,1,0.74966,52.2698907412443,512,images/datasets/real/kodak/kodim07.png,real_kodim07,768x512,0,0.0,full,0,0.0,1,full__real_kodim07__rep1,1.43421,openssl_evp,768
133.345,1179648,3,logistic_xor,1,1.90375,22.56488850011497,512,images/datasets/real/kodak/kodim08.png,real_kodim08,768x512,4.72436,55.99719324197146,full,0.000616,0.007301363790450859,1,full__real_kodim08__rep1,8.43678,scalar_avx2,768
14.0597,1179648,3,logistic_permute_xor,1,1.97938,2.4737240708756474,512,images/datasets/real/kodak/kodim08.png,real_kodim08,768x512,4.22233,5.276843939102332,full,72.1905,90.21985547926545,1,full__real_kodim08__rep1,80.0162,scalar_avx2,768
119.342,1179648,3,arnold_xor,1,0.37197,3.945923754785614,512,images/datasets/real/kodak/kodim08.png,real_kodim08,768x512,3.94097,41.80650896550114,full,4.69843,49.84177903378598,1,full__real_kodim08__rep1,9.42669,scalar_avx2,768
90.0104,1179648,3,tiled_arnold_xor,1,1.68488,13.480549821580016,512,images/datasets/real/kodak/kodim08.png,real_kodim08,768x512,3.82022,30.56518330052966,full,5.71864,45.754244475381235,1,full__real_kodim08__rep1,12.4986,scalar_avx2,768
81.4704,1179648,3,tent_block_xor,1,1.7049,12.34656412261835,512,images/datasets/real/kodak/kodim08.png,real_kodim08,768x512,10.9007,78.94081267606656,full,0.000529,0.003830918189257497,1,full__real_kodim08__rep1,13.8087,scalar_avx2,768
23.0688,1179648,3,sine_xor,1,0.827348,1.6965290123874497,512,images/datasets/real/kodak/kodim08.png,real_kodim08,768x512,47.5101,97.42244258936866,full,0.000614,0.001259045545049839,1,full__real_kodim08__rep1,48.7671,scalar_avx2,768
72.0938,1179648,3,coupled_lattice_xor,1,0.585625,3.752875736156414,512,images/datasets/real/kodak/kodim08.png,real_kodim08,768x512,14.6053,93.59551929867284,full,0.000548,0.003511762481816376,1,full__real_kodim08__rep1,15.6047,scalar_avx2,768
11.0306,1179648,3,hamiltonian_lattice_xor,1,0.969208,0.9503064055927599,512,images/datasets/real/kodak/kodim08.png,real_kodim08,768x512,100.581,98.61945896126053,full,0.000551,0.0005402543411544381,1,full__real_kodim08__rep1,101.989,scalar_avx2,768
290.282,1179648,3,chaotic_seed_blake3_xor,1,0.584062,15.070428713343912,512,images/datasets/real/kodak/kodim08.png,real_kodim08,768x512,2.72519,70.31750332210912,full,0.000594,0.015326856833223672,1,full__real_kodim08__rep1,3.87555,scalar_avx2,768
335.785,1179648,3,aes_ctr,1,2.87143,85.70511825594863,512,images/datasets/real/kodak/kodim08.png,real_kodim08,768x512,0,0.0,full,0,0.0,1,full__real_kodim08__rep1,3.35036,openssl_evp,768
