MBps,bytes,channels,checksum,diffusion,diffusion_ms,diffusion_share_pct,height,image,image_kind,image_size,keygen_ms,keygen_share_pct,keystream,mode,permutation,permutation_ms,permutation_share_pct,repeat,run_id,scheme,total_ms,width
51.3696,1179648,3,6408696621853027068,arx_block,1.41425,6.457733069712011,512,images/datasets/real/kodak/kodim01.png,real_kodim01,768x512,2.68242,12.248437221747848,cellular_automata,candidates,feistel_index,17.8,81.27816767959965,1,candidates__real_kodim01__rep1,CA-Feistel-ARX,21.9001,768
237.267,1179648,3,170362083924563506,arx_block,1.20101,25.329801391545693,512,images/datasets/real/kodak/kodim01.png,real_kodim01,768x512,2.54986,53.77760999179583,cellular_automata,candidates,checkerboard_swaps,0.987937,20.836003028583843,1,candidates__real_kodim01__rep1,Checkerboard-CA-ARX,4.74149,768
44.8027,1179648,3,11545603384592758477,prefix_tree_reverse,5.80989,23.13766173770714,512,images/datasets/real/kodak/kodim01.png,real_kodim01,768x512,2.39282,9.529312905962142,cellular_automata,candidates,affine_bitplane,16.9041,67.31992305884883,1,candidates__real_kodim01__rep1,Affine-CA-PrefixTree,25.1101,768
203.308,1179648,3,3436784516909611437,multilane_tree,1.99258,36.00946238269158,512,images/datasets/real/kodak/kodim01.png,real_kodim01,768x512,2.46527,44.551810882462966,cellular_automata,candidates,checkerboard_swaps,1.07173,19.368066084875913,1,candidates__real_kodim01__rep1,Checkerboard-CA-MultilaneTree,5.53349,768
24.4015,1179648,3,11508593528817600570,stencil,6.63976,14.401762978322829,512,images/datasets/real/kodak/kodim01.png,real_kodim01,768x512,18.9186,41.03479539647491,cml,candidates,feistel_index,20.538,44.547304126774804,1,candidates__real_kodim01__rep1,CML-Feistel-Stencil,46.1038,768
9.17815,1179648,3,10309898852370750337,stencil,4.78876,3.9068317914076394,512,images/datasets/real/kodak/kodim01.png,real_kodim01,768x512,99.8468,81.45838432293962,hamiltonian,candidates,block_feistel,17.9328,14.630182583582164,1,candidates__real_kodim01__rep1,Hamiltonian-Block-Stencil,122.574,768
30.668,1179648,3,4170611950953939848,bitplane,2.38619,6.504857809569503,512,images/datasets/real/kodak/kodim01.png,real_kodim01,768x512,17.364,47.3350198455969,cml,candidates,affine_bitplane,16.9281,46.14673747110394,1,candidates__real_kodim01__rep1,Affine-CML-Bitplane,36.6832,768
53.4341,1179648,3,12672824234007014702,arx_block,1.40026,6.650802697824642,512,images/datasets/real/kodak/kodim02.png,real_kodim02,768x512,2.6952,12.80136791108578,cellular_automata,candidates,feistel_index,16.9552,80.53196542224757,1,candidates__real_kodim02__rep1,CA-Feistel-ARX,21.054,768
214.688,1179648,3,1950442303836008287,arx_block,1.3509,25.779747183292113,512,images/datasets/real/kodak/kodim02.png,real_kodim02,768x512,2.71271,51.767694116210194,cellular_automata,candidates,checkerboard_swaps,1.1733,22.39053769350554,1,candidates__real_kodim02__rep1,Checkerboard-CA-ARX,5.24016,768
45.2797,1179648,3,8511755047479843353,prefix_tree_reverse,5.68355,22.875478958044884,512,images/datasets/real/kodak/kodim02.png,real_kodim02,768x512,2.6411,10.630051196187653,cellular_automata,candidates,affine_bitplane,16.5171,66.47897414431529,1,candidates__real_kodim02__rep1,Affine-CA-PrefixTree,24.8456,768
225.158,1179648,3,3736815578837059961,multilane_tree,1.89656,37.95784640817855,512,images/datasets/real/kodak/kodim02.png,real_kodim02,768x512,2.20975,44.22604668477272,cellular_automata,candidates,checkerboard_swaps,0.887298,17.75842641534357,1,candidates__real_kodim02__rep1,Checkerboard-CA-MultilaneTree,4.99649,768
27.4385,1179648,3,9669187312889501358,stencil,5.21662,12.72321515677743,512,images/datasets/real/kodak/kodim02.png,real_kodim02,768x512,17.7137,43.20330335017853,cml,candidates,feistel_index,18.0589,44.0452381416948,1,candidates__real_kodim02__rep1,CML-Feistel-Stencil,41.0008,768
9.09952,1179648,3,3744617503715742041,stencil,5.27098,4.26340863685262,512,images/datasets/real/kodak/kodim02.png,real_kodim02,768x512,100.648,81.40868538335233,hamiltonian,candidates,block_feistel,17.7101,14.324735305298747,1,candidates__real_kodim02__rep1,Hamiltonian-Block-Stencil,123.633,768
31.0173,1179648,3,18193791695340040612,bitplane,2.30117,6.344537235905056,512,images/datasets/real/kodak/kodim02.png,real_kodim02,768x512,17.6197,48.579132674020755,cml,candidates,affine_bitplane,16.346,45.067424683141205,1,candidates__real_kodim02__rep1,Affine-CML-Bitplane,36.2701,768
52.3687,1179648,3,6896709221369695215,arx_block,1.28974,6.0037333060240305,512,images/datasets/real/kodak/kodim03.png,real_kodim03,768x512,2.61916,12.192176815331692,cellular_automata,candidates,feistel_index,17.5699,81.78779739599578,1,candidates__real_kodim03__rep1,CA-Feistel-ARX,21.4823,768
257.208,1179648,3,12771177623281933686,arx_block,1.08408,24.785203136788677,512,images/datasets/real/kodak/kodim03.png,real_kodim03,768x512,2.38411,54.5076476371202,cellular_automata,candidates,checkerboard_swaps,0.90221,20.62712910674684,1,candidates__real_kodim03__rep1,Checkerboard-CA-ARX,4.3739,768
46.4536,1179648,3,14491562710802891353,prefix_tree_reverse,5.81382,24.00649112013114,512,images/datasets/real/kodak/kodim03.png,real_kodim03,768x512,2.33384,9.636918452206443,cellular_automata,candidates,affine_bitplane,16.0667,66.34279886198938,1,candidates__real_kodim03__rep1,Affine-CA-PrefixTree,24.2177,768
225.905,1179648,3,11055365059605269693,multilane_tree,1.55125,31.14978604288781,512,images/datasets/real/kodak/kodim03.png,real_kodim03,768x512,2.55265,51.25834091370028,cellular_automata,candidates,checkerboard_swaps,0.87254,17.52098908226355,1,candidates__real_kodim03__rep1,Checkerboard-CA-MultilaneTree,4.97997,768
28.0816,1179648,3,2070908022816596111,stencil,4.8242,12.041895271805062,512,images/datasets/real/kodak/kodim03.png,real_kodim03,768x512,17.4132,43.4658452690593,cml,candidates,feistel_index,17.818,44.47628414100216,1,candidates__real_kodim03__rep1,CML-Feistel-Stencil,40.0618,768
9.21895,1179648,3,16180145546949705876,stencil,5.21397,4.272660225680359,512,images/datasets/real/kodak/kodim03.png,real_kodim03,768x512,99.4489,81.49478411223377,hamiltonian,candidates,block_feistel,17.3649,14.22990879366718,1,candidates__real_kodim03__rep1,Hamiltonian-Block-Stencil,122.031,768
31.9334,1179648,3,6746125944962946514,bitplane,2.0697,5.874889297636079,512,images/datasets/real/kodak/kodim03.png,real_kodim03,768x512,17.018,48.30596997978973,cml,candidates,affine_bitplane,16.139,45.8109090083339,1,candidates__real_kodim03__rep1,Affine-CML-Bitplane,35.2296,768
46.3796,1179648,3,16058514813378977378,arx_block,1.94349,8.012310203947015,768,images/datasets/real/kodak/kodim04.png,real_kodim04,512x768,4.23247,17.44895140643874,cellular_automata,candidates,feistel_index,18.0746,74.51507443427069,1,candidates__real_kodim04__rep1,CA-Feistel-ARX,24.2563,512
240.742,1179648,3,3117053718118449277,arx_block,1.05883,22.658221076170808,768,images/datasets/real/kodak/kodim04.png,real_kodim04,512x768,2.54867,54.53975455002621,cellular_automata,candidates,checkerboard_swaps,1.06233,22.733118627020897,1,candidates__real_kodim04__rep1,Checkerboard-CA-ARX,4.67305,512
41.8264,1179648,3,8891190095703184121,prefix_tree_reverse,5.91328,21.984987117474503,768,images/datasets/real/kodak/kodim04.png,real_kodim04,512x768,2.4076,8.951217426543579,cellular_automata,candidates,affine_bitplane,18.5714,69.04661875532125,1,candidates__real_kodim04__rep1,Affine-CA-PrefixTree,26.8969,512
198.343,1179648,3,18076989137414483381,multilane_tree,1.90498,33.58574327528786,768,images/datasets/real/kodak/kodim04.png,real_kodim04,512x768,2.72241,47.99744005190418,cellular_automata,candidates,checkerboard_swaps,1.04118,18.35652037468331,1,candidates__real_kodim04__rep1,Checkerboard-CA-MultilaneTree,5.67199,512
27.581,1179648,3,12799180133783388348,stencil,4.94726,12.128937039243521,768,images/datasets/real/kodak/kodim04.png,real_kodim04,512x768,17.9483,44.0029027505032,cml,candidates,feistel_index,17.8885,43.8562942369125,1,candidates__real_kodim04__rep1,CML-Feistel-Stencil,40.7889,512
8.70758,1179648,3,6668713680621765099,stencil,6.98103,5.403357637115125,768,images/datasets/real/kodak/kodim04.png,real_kodim04,512x768,103.413,80.04226071611015,hamiltonian,candidates,block_feistel,18.7971,14.549064227000418,1,candidates__real_kodim04__rep1,Hamiltonian-Block-Stencil,129.198,512
29.9571,1179648,3,12399597889150597405,bitplane,2.79196,7.434580347608891,768,images/datasets/real/kodak/kodim04.png,real_kodim04,512x768,18.3182,48.77868226033654,cml,candidates,affine_bitplane,16.4384,43.773050325267555,1,candidates__real_kodim04__rep1,Affine-CML-Bitplane,37.5537,512
48.7472,1179648,3,6954498042322341093,arx_block,1.92545,8.343118860574654,512,images/datasets/real/kodak/kodim05.png,real_kodim05,768x512,2.57712,11.166853711061906,cellular_automata,candidates,feistel_index,18.571,80.4695319845916,1,candidates__real_kodim05__rep1,CA-Feistel-ARX,23.0783,768
215.615,1179648,3,329147272346205406,arx_block,1.35447,25.959437600141058,512,images/datasets/real/kodak/kodim05.png,real_kodim05,768x512,2.77025,53.09392752278807,cellular_automata,candidates,checkerboard_swaps,1.08867,20.865180426399675,1,candidates__real_kodim05__rep1,Checkerboard-CA-ARX,5.21764,768
43.7686,1179648,3,8447728408660617105,prefix_tree_reverse,6.18582,24.066154672144542,512,images/datasets/real/kodak/kodim05.png,real_kodim05,768x512,2.49698,9.714590287666224,cellular_automata,candidates,affine_bitplane,17.0164,66.20291478948312,1,candidates__real_kodim05__rep1,Affine-CA-PrefixTree,25.7034,768
184.606,1179648,3,2951433945885406825,multilane_tree,2.08979,34.29218896402568,512,images/datasets/real/kodak/kodim05.png,real_kodim05,768x512,2.68537,44.06529626341673,cellular_automata,candidates,checkerboard_swaps,1.31534,21.583933233454815,1,candidates__real_kodim05__rep1,Checkerboard-CA-MultilaneTree,6.09407,768
28.1199,1179648,3,8242947318805138069,stencil,5.09145,12.72633425983323,512,images/datasets/real/kodak/kodim05.png,real_kodim05,768x512,17.206,43.00725869343518,cml,candidates,feistel_index,17.7044,44.25303445379832,1,candidates__real_kodim05__rep1,CML-Feistel-Stencil,40.0072,768
8.95876,1179648,3,5015796982729256934,stencil,5.26103,4.1895520605216,512,images/datasets/real/kodak/kodim05.png,real_kodim05,768x512,102.631,81.72884730240892,hamiltonian,candidates,block_feistel,17.6784,14.077961377662751,1,candidates__real_kodim05__rep1,Hamiltonian-Block-Stencil,125.575,768
30.6727,1179648,3,11447312292534639252,bitplane,2.5689,7.004021539090724,512,images/datasets/real/kodak/kodim05.png,real_kodim05,768x512,17.5612,47.880035444073336,cml,candidates,affine_bitplane,16.5417,45.100402153909066,1,candidates__real_kodim05__rep1,Affine-CML-Bitplane,36.6775,768
50.642,1179648,3,17577733343784124411,arx_block,1.33443,6.006941318400346,512,images/datasets/real/kodak/kodim06.png,real_kodim06,768x512,2.75582,12.40533338134937,cellular_automata,candidates,feistel_index,18.1209,81.57129481246736,1,candidates__real_kodim06__rep1,CA-Feistel-ARX,22.2148,768
212.801,1179648,3,5796322048496496502,arx_block,1.27368,24.092429217801854,512,images/datasets/real/kodak/kodim06.png,real_kodim06,768x512,2.97808,56.33218830864216,cellular_automata,candidates,checkerboard_swaps,1.03016,19.48610081261444,1,candidates__real_kodim06__rep1,Checkerboard-CA-ARX,5.28664,768
45.7467,1179648,3,16107739587140914069,prefix_tree_reverse,5.53147,22.492965191932335,512,images/datasets/real/kodak/kodim06.png,real_kodim06,768x512,2.399,9.755204944697462,cellular_automata,candidates,affine_bitplane,16.6584,67.7391021470397,1,candidates__real_kodim06__rep1,Affine-CA-PrefixTree,24.592,768
229.537,1179648,3,12860997283383509997,multilane_tree,1.47348,30.06378055896743,512,images/datasets/real/kodak/kodim06.png,real_kodim06,768x512,2.51146,51.24194581712975,cellular_automata,candidates,checkerboard_swaps,0.913454,18.637430169877458,1,candidates__real_kodim06__rep1,Checkerboard-CA-MultilaneTree,4.90118,768
28.9401,1179648,3,8356258400512047172,stencil,5.10453,13.131164240843354,512,images/datasets/real/kodak/kodim06.png,real_kodim06,768x512,17.2309,44.32568285768675,cml,candidates,feistel_index,16.5341,42.533197507807394,1,candidates__real_kodim06__rep1,CML-Feistel-Stencil,38.8734,768
8.82563,1179648,3,2088401855521476087,stencil,4.80139,3.766682356632933,512,images/datasets/real/kodak/kodim06.png,real_kodim06,768x512,105.037,82.40134933709894,hamiltonian,candidates,block_feistel,17.6257,13.827331921236368,1,candidates__real_kodim06__rep1,Hamiltonian-Block-Stencil,127.47,768
29.362,1179648,3,1391524656074416959,bitplane,2.72988,7.12487080710326,512,images/datasets/real/kodak/kodim06.png,real_kodim06,768x512,17.994,46.96357543299195,cml,candidates,affine_bitplane,17.5863,45.89949575620909,1,candidates__real_kodim06__rep1,Affine-CML-Bitplane,38.3148,768
52.1041,1179648,3,6239555364601440304,arx_block,1.5074,6.981483368378151,512,images/datasets/real/kodak/kodim07.png,real_kodim07,768x512,2.75807,12.773928508572858,cellular_automata,candidates,feistel_index,17.3217,80.22499698954213,1,candidates__real_kodim07__rep1,CA-Feistel-ARX,21.5914,768
273.386,1179648,3,7851116050761595795,arx_block,0.955892,23.22911452080893,512,images/datasets/real/kodak/kodim07.png,real_kodim07,768x512,2.28668,55.5685700816027,cellular_automata,candidates,checkerboard_swaps,0.859943,20.897459575316034,1,candidates__real_kodim07__rep1,Checkerboard-CA-ARX,4.11506,768
45.6434,1179648,3,1074680637244240953,prefix_tree_reverse,6.22124,25.240753663642707,512,images/datasets/real/kodak/kodim07.png,real_kodim07,768x512,2.43151,9.865098427433097,cellular_automata,candidates,affine_bitplane,15.9909,64.87812200782226,1,candidates__real_kodim07__rep1,Affine-CA-PrefixTree,24.6476,768
201.79,1179648,3,6669808274851570949,multilane_tree,2.00783,36.01417729874388,512,images/datasets/real/kodak/kodim07.png,real_kodim07,768x512,2.4152,43.32111832771013,cellular_automata,candidates,checkerboard_swaps,1.14879,20.60569208499922,1,candidates__real_kodim07__rep1,Checkerboard-CA-MultilaneTree,5.57511,768
28.1382,1179648,3,6652416572331140187,stencil,4.9884,12.476832919389816,512,images/datasets/real/kodak/kodim07.png,real_kodim07,768x512,17.8614,44.674385275116116,cml,candidates,feistel_index,17.1264,42.83602584208118,1,candidates__real_kodim07__rep1,CML-Feistel-Stencil,39.9813,768
9.6822,1179648,3,7414205727455068624,stencil,4.49737,3.870603220503817,512,images/datasets/real/kodak/kodim07.png,real_kodim07,768x512,95.3686,82.07774995051338,hamiltonian,candidates,block_feistel,16.3216,14.046973569836394,1,candidates__real_kodim07__rep1,Hamiltonian-Block-Stencil,116.193,768
30.4615,1179648,3,3791228855632118165,bitplane,2.65474,7.188203152288401,512,images/datasets/real/kodak/kodim07.png,real_kodim07,768x512,16.7088,45.242189001919755,cml,candidates,affine_bitplane,17.5637,47.556990027591326,1,candidates__real_kodim07__rep1,Affine-CML-Bitplane,36.9319,768
52.7128,1179648,3,523592567582411155,arx_block,1.25179,5.8653553305438555,512,images/datasets/real/kodak/kodim08.png,real_kodim08,768x512,3.05359,14.307823503778916,cellular_automata,candidates,feistel_index,17.0331,79.80985938590862,1,candidates__real_kodim08__rep1,CA-Feistel-ARX,21.3421,768
273.024,1179648,3,13209267639416848082,arx_block,1.00017,24.272907302961762,512,images/datasets/real/kodak/kodim08.png,real_kodim08,768x512,2.29494,55.69539766825547,cellular_automata,candidates,checkerboard_swaps,0.822315,19.95658314969955,1,candidates__real_kodim08__rep1,Checkerboard-CA-ARX,4.12052,768
44.5944,1179648,3,835639301878001045,prefix_tree_reverse,5.89966,23.385921656611462,512,images/datasets/real/kodak/kodim08.png,real_kodim08,768x512,2.47454,9.808937900853834,cellular_automata,candidates,affine_bitplane,16.8497,66.79126663865479,1,candidates__real_kodim08__rep1,Affine-CA-PrefixTree,25.2274,768
209.644,1179648,3,12984101628142975189,multilane_tree,1.84628,34.405404146284646,512,images/datasets/real/kodak/kodim08.png,real_kodim08,768x512,2.40836,44.87975774516655,cellular_automata,candidates,checkerboard_swaps,1.1081,20.649429303517355,1,candidates__real_kodim08__rep1,Checkerboard-CA-MultilaneTree,5.36625,768
27.3634,1179648,3,15043100739923468451,stencil,4.9934,12.145431902980539,512,images/datasets/real/kodak/kodim08.png,real_kodim08,768x512,17.5235,42.6223567012215,cml,candidates,feistel_index,18.5924,45.22223897804609,1,candidates__real_kodim08__rep1,CML-Feistel-Stencil,41.1134,768
8.79246,1179648,3,10023160108608625560,stencil,5.56618,4.350243452571688,512,images/datasets/real/kodak/kodim08.png,real_kodim08,768x512,103.693,81.0411798266524,hamiltonian,candidates,block_feistel,18.6871,14.604887808614237,1,candidates__real_kodim08__rep1,Hamiltonian-Block-Stencil,127.951,768
30.6003,1179648,3,14338419671889443597,bitplane,2.49236,6.77929404340624,512,images/datasets/real/kodak/kodim08.png,real_kodim08,768x512,17.9071,48.707849734661075,cml,candidates,affine_bitplane,16.3611,44.50268330962374,1,candidates__real_kodim08__rep1,Affine-CML-Bitplane,36.7643,768
53.5209,1179648,3,11109402505312458576,arx_block,1.51715,7.217718532050733,768,images/datasets/real/kodak/kodim09.png,real_kodim09,512x768,2.70541,12.870769464980636,cellular_automata,candidates,feistel_index,16.7929,79.8908648036613,1,candidates__real_kodim09__rep1,CA-Feistel-ARX,21.0198,512
249.243,1179648,3,17845359027424532971,arx_block,1.0762,23.843125438944362,768,images/datasets/real/kodak/kodim09.png,real_kodim09,512x768,2.47483,54.829661893758285,cellular_automata,candidates,checkerboard_swaps,0.959515,21.257978540744006,1,candidates__real_kodim09__rep1,Checkerboard-CA-ARX,4.51367,512
42.1246,1179648,3,3926770638654090461,prefix_tree_reverse,5.80253,21.727032744837402,768,images/datasets/real/kodak/kodim09.png,real_kodim09,512x768,3.89974,14.602212944414282,cellular_automata,candidates,affine_bitplane,16.9993,63.652294385262024,1,candidates__real_kodim09__rep1,Affine-CA-PrefixTree,26.7065,512
214.077,1179648,3,3281253767728636149,multilane_tree,1.757,33.43412411919065,768,images/datasets/real/kodak/kodim09.png,real_kodim09,512x768,2.48953,47.37350883235555,cellular_automata,candidates,checkerboard_swaps,1.0053,19.129951609005328,1,candidates__real_kodim09__rep1,Checkerboard-CA-MultilaneTree,5.25511,512
27.0396,1179648,3,5553014054309346448,stencil,4.91229,11.806771668305064,768,images/datasets/real/kodak/kodim09.png,real_kodim09,512x768,18.9891,45.64062135716981,cml,candidates,feistel_index,17.7004,42.54320922373616,1,candidates__real_kodim09__rep1,CML-Feistel-Stencil,41.6057,512
9.19248,1179648,3,14767609004304695399,stencil,4.85758,3.969162383664398,768,images/datasets/real/kodak/kodim09.png,real_kodim09,512x768,99.962,81.67964504874044,hamiltonian,candidates,block_feistel,17.5579,14.346682137224942,1,candidates__real_kodim09__rep1,Hamiltonian-Block-Stencil,122.383,512
30.2668,1179648,3,834932571514171154,bitplane,2.77081,7.454525888160993,768,images/datasets/real/kodak/kodim09.png,real_kodim09,512x768,17.6101,47.37782321527059,cml,candidates,affine_bitplane,16.7841,45.15557109996099,1,candidates__real_kodim09__rep1,Affine-CML-Bitplane,37.1695,512
51.3703,1179648,3,16482105711982498111,arx_block,1.43393,6.547685366989653,768,images/datasets/real/kodak/kodim10.png,real_kodim10,512x768,2.71772,12.409793696746089,cellular_automata,candidates,feistel_index,17.7438,81.0226577411666,1,candidates__real_kodim10__rep1,CA-Feistel-ARX,21.8998,512
266.386,1179648,3,4275055338126266493,arx_block,1.06694,25.26378101913241,768,images/datasets/real/kodak/kodim10.png,real_kodim10,512x768,2.25431,53.37919113468459,cellular_automata,candidates,checkerboard_swaps,0.899366,21.295842015533243,1,candidates__real_kodim10__rep1,Checkerboard-CA-ARX,4.2232,512
46.6479,1179648,3,17166027212707620329,prefix_tree_reverse,5.52294,22.900704485236492,768,images/datasets/real/kodak/kodim10.png,real_kodim10,512x768,2.40509,9.9726332986412,cellular_automata,candidates,affine_bitplane,16.1849,67.11020073060799,1,candidates__real_kodim10__rep1,Affine-CA-PrefixTree,24.1169,512
226.012,1179648,3,12627883851474339429,multilane_tree,1.7464,35.08511112762952,768,images/datasets/real/kodak/kodim10.png,real_kodim10,512x768,2.31008,46.40942138897985,cellular_automata,candidates,checkerboard_swaps,0.91794,18.44138050188745,1,candidates__real_kodim10__rep1,Checkerboard-CA-MultilaneTree,4.97761,512
28.2857,1179648,3,14788521014984298448,stencil,4.83157,12.147955758598235,768,images/datasets/real/kodak/kodim10.png,real_kodim10,512x768,17.5012,44.00304731637531,cml,candidates,feistel_index,17.436,43.83911577539367,1,candidates__real_kodim10__rep1,CML-Feistel-Stencil,39.7727,512
9.02396,1179648,3,14778865845691643411,stencil,4.89676,3.9278403439535396,768,images/datasets/real/kodak/kodim10.png,real_kodim10,512x768,102.429,82.16142073346808,hamiltonian,candidates,block_feistel,17.338,13.907337889434338,1,candidates__real_kodim10__rep1,Hamiltonian-Block-Stencil,124.668,512
29.5996,1179648,3,7459501464471163672,bitplane,3.17557,8.355158088051507,768,images/datasets/real/kodak/kodim10.png,real_kodim10,512x768,17.5243,46.107721411413074,cml,candidates,affine_bitplane,17.3027,45.524675522860086,1,candidates__real_kodim10__rep1,Affine-CML-Bitplane,38.0073,512
53.5469,1179648,3,455965125399087674,arx_block,1.36794,6.511023532099611,512,images/datasets/real/kodak/kodim11.png,real_kodim11,768x512,2.57907,12.275673977610237,cellular_automata,candidates,feistel_index,17.0591,81.19669103647857,1,candidates__real_kodim11__rep1,CA-Feistel-ARX,21.0096,768
262.192,1179648,3,15427045906930944816,arx_block,1.0736,25.021266678319645,512,images/datasets/real/kodak/kodim11.png,real_kodim11,768x512,2.40646,56.084833653790135,cellular_automata,candidates,checkerboard_swaps,0.801892,18.688853929965624,1,candidates__real_kodim11__rep1,Checkerboard-CA-ARX,4.29075,768
45.7403,1179648,3,6624291834820128525,prefix_tree_reverse,5.87257,23.876700521235676,512,images/datasets/real/kodak/kodim11.png,real_kodim11,768x512,2.43197,9.887905868577052,cellular_automata,candidates,affine_bitplane,16.287,66.21969961862786,1,candidates__real_kodim11__rep1,Affine-CA-PrefixTree,24.5954,768
228.765,1179648,3,13322506279219646141,multilane_tree,1.58954,32.322768117680795,512,images/datasets/real/kodak/kodim11.png,real_kodim11,768x512,2.31669,47.109121928702585,cellular_automata,candidates,checkerboard_swaps,1.008,20.49734530909712,1,candidates__real_kodim11__rep1,Checkerboard-CA-MultilaneTree,4.91771,768
28.5119,1179648,3,3239476776357018164,stencil,4.76968,12.088237381263749,512,images/datasets/real/kodak/kodim11.png,real_kodim11,768x512,17.655,44.744685380614946,cml,candidates,feistel_index,17.0292,43.15866305769289,1,candidates__real_kodim11__rep1,CML-Feistel-Stencil,39.4572,768
8.9129,1179648,3,3888970578063571919,stencil,5.48215,4.343294697395837,512,images/datasets/real/kodak/kodim11.png,real_kodim11,768x512,102.341,81.0808027190404,hamiltonian,candidates,block_feistel,18.392,14.57126785558663,1,candidates__real_kodim11__rep1,Hamiltonian-Block-Stencil,126.221,768
29.5615,1179648,3,6181338687902976321,bitplane,2.68358,7.051605121885207,512,images/datasets/real/kodak/kodim11.png,real_kodim11,768x512,18.3192,48.137102135520266,cml,candidates,affine_bitplane,17.0474,44.79521130535549,1,candidates__real_kodim11__rep1,Affine-CML-Bitplane,38.0563,768
52.6939,1179648,3,6321336801917271930,arx_block,1.3816,6.471285310800621,512,images/datasets/real/kodak/kodim12.png,real_kodim12,768x512,2.68462,12.574509243689608,cellular_automata,candidates,feistel_index,17.2795,80.93556349737935,1,candidates__real_kodim12__rep1,CA-Feistel-ARX,21.3497,768
247.682,1179648,3,7379313044839984296,arx_block,1.06464,23.43932665655389,512,images/datasets/real/kodak/kodim12.png,real_kodim12,768x512,2.55693,56.29388103766751,cellular_automata,candidates,checkerboard_swaps,0.917161,20.19239956760184,1,candidates__real_kodim12__rep1,Checkerboard-CA-ARX,4.54211,768
42.5531,1179648,3,13528751651831082689,prefix_tree_reverse,5.82443,22.030940898345158,512,images/datasets/real/kodak/kodim12.png,real_kodim12,768x512,2.99015,11.310260047281323,cellular_automata,candidates,affine_bitplane,17.6185,66.6420803782506,1,candidates__real_kodim12__rep1,Affine-CA-PrefixTree,26.4375,768
235.441,1179648,3,980024658990962337,multilane_tree,1.55828,32.61180301657294,512,images/datasets/real/kodak/kodim12.png,real_kodim12,768x512,2.26918,47.48957258589406,cellular_automata,candidates,checkerboard_swaps,0.947676,19.83303580584605,1,candidates__real_kodim12__rep1,Checkerboard-CA-MultilaneTree,4.77827,768
28.3287,1179648,3,11461577915674639340,stencil,4.96869,12.511684008017646,512,images/datasets/real/kodak/kodim12.png,real_kodim12,768x512,17.3304,43.639769945911105,cml,candidates,feistel_index,17.4097,43.83945568638511,1,candidates__real_kodim12__rep1,CML-Feistel-Stencil,39.7124,768
8.97623,1179648,3,10232811917075669683,stencil,5.29879,4.2278366884489875,512,images/datasets/real/kodak/kodim12.png,real_kodim12,768x512,101.235,80.7741101563061,hamiltonian,candidates,block_feistel,18.7921,14.993975951679952,1,candidates__real_kodim12__rep1,Hamiltonian-Block-Stencil,125.331,768
